,start,end,duration,round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
37,09/21/20-172020,09/21/20-172049,29.151702404022217,106,0.2807353036403656,0.8848000168800354,0.6480146646499634,0.373464548766613,0.8511999845504761,0.5429777503013611,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,45,0.08,106,uniform,74,40,35,binary_crossentropy,1.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
38,09/21/20-172049,09/21/20-172148,59.06149649620056,148,0.23265890190005303,0.8999999761581421,0.6800602078437805,0.46525019788742067,0.8360000252723694,0.5340522527694702,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,35,0.16,148,normal,83,20,38,binary_crossentropy,1.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
39,09/21/20-172148,09/21/20-172233,44.27441883087158,130,0.31309908310572304,0.8736000061035156,0.5998150110244751,0.358180552482605,0.8479999899864197,0.5405465364456177,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,35,0.08,130,uniform,47,20,23,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
40,09/21/20-172233,09/21/20-172325,51.55441975593567,136,0.05110964788496494,0.8575999736785889,0.5242880582809448,0.056504314184188845,0.8392000198364258,0.489362895488739,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,30,0.08,136,uniform,65,25,29,logcosh,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
41,09/21/20-172325,09/21/20-172348,22.85522484779358,148,0.08431284415721893,0.9565333127975464,0.880174994468689,1.5909769263267517,0.8216000199317932,0.5124233961105347,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,60,0.4,148,normal,92,25,29,binary_crossentropy,5.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
42,09/21/20-172348,09/21/20-172418,29.965790033340454,130,0.31129593145847323,0.8717333078384399,0.6099978089332581,0.36090201562643054,0.8528000116348267,0.5279396772384644,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,45,0.16,130,uniform,83,35,26,binary_crossentropy,1.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
43,09/21/20-172418,09/21/20-172436,17.614330768585205,112,0.32062373840808867,0.8666666746139526,0.591918408870697,0.3475050436258316,0.8568000197410583,0.5577884912490845,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,65,0.4,112,normal,56,40,23,binary_crossentropy,1.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
44,09/21/20-172436,09/21/20-172507,30.683215618133545,112,0.024203089934463302,0.9399999976158142,0.8280942440032959,0.06084192764759064,0.843999981880188,0.5418962240219116,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,40,0.4,112,normal,83,45,20,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
45,09/21/20-172507,09/21/20-172540,33.622026681900024,142,0.061665084712207316,0.828000009059906,0.37077048420906067,0.06034328919649124,0.8288000226020813,0.3567468225955963,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,65,0.32,142,uniform,47,25,35,logcosh,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
46,09/21/20-172541,09/21/20-172617,35.96547055244446,148,0.18161871480941771,0.9175999760627747,0.7556955218315125,0.9811367764472961,0.8367999792098999,0.5012454986572266,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,40,0.4,148,uniform,65,50,20,binary_crossentropy,5.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
47,09/21/20-172617,09/21/20-172656,39.52432298660278,118,0.022382340481163315,0.9445333480834961,0.8443349003791809,0.06305118548776954,0.8399999737739563,0.5844807624816895,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,35,0.4,118,uniform,38,50,32,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
48,09/21/20-172657,09/21/20-172717,20.61509132385254,130,0.04481931948661804,0.8714666962623596,0.611487090587616,0.04863058905303478,0.853600025177002,0.5453966856002808,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,65,0.0,130,uniform,38,20,35,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
49,09/21/20-172718,09/21/20-172740,22.52375364303589,124,0.044554361735781034,0.8754666447639465,0.6195828914642334,0.048731936022639276,0.8600000143051147,0.5560781359672546,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,55,0.24,124,uniform,47,25,23,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
50,09/21/20-172740,09/21/20-172754,14.014493942260742,100,0.14734219493468603,0.9357333183288574,0.8193220496177673,0.9322387229204178,0.8399999737739563,0.508558988571167,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,65,0.0,100,normal,38,30,23,binary_crossentropy,5.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
51,09/21/20-172755,09/21/20-172817,22.151313543319702,118,0.10260364671299856,0.9653333425521851,0.9080840945243835,1.532433530688286,0.8176000118255615,0.5293543934822083,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,55,0.08,118,normal,56,50,29,binary_crossentropy,5.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
52,09/21/20-172817,09/21/20-172900,42.68315672874451,136,0.21336121025681495,0.9170666933059692,0.7480149269104004,0.467423023045063,0.8367999792098999,0.5390104055404663,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,35,0.4,136,normal,47,25,23,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
53,09/21/20-172900,09/21/20-172936,36.0546441078186,130,0.02676215372607112,0.9341333508491516,0.8073642253875732,0.05813460636138916,0.8447999954223633,0.5424575805664062,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,40,0.08,130,normal,83,35,35,logcosh,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
54,09/21/20-172936,09/21/20-173023,46.608726024627686,142,0.31771784953276316,0.8693333268165588,0.5890322327613831,0.3522966250181198,0.8479999899864197,0.5064643025398254,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,35,0.4,142,uniform,92,20,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
55,09/21/20-173023,09/21/20-173052,29.235336780548096,142,0.046069442455967266,0.871999979019165,0.6161313652992249,0.05163051795214415,0.8479999899864197,0.537335216999054,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,55,0.4,142,normal,74,35,29,logcosh,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
56,09/21/20-173053,09/21/20-173123,30.050151824951172,112,0.043737401753664015,0.8754666447639465,0.6127573251724243,0.049118913441896436,0.853600025177002,0.5310248732566833,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,45,0.08,112,uniform,92,55,38,logcosh,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
57,09/21/20-173123,09/21/20-173205,41.46483659744263,118,0.1803464916050434,0.9245333075523376,0.7669753432273865,1.2207959567010402,0.848800003528595,0.5097974538803101,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,30,0.16,118,uniform,74,50,23,binary_crossentropy,5.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
58,09/21/20-173205,09/21/20-173252,47.15081214904785,148,0.02957622144650668,0.9269333481788635,0.8012087345123291,0.06658945900201797,0.8343999981880188,0.5050470232963562,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,40,0.0,148,normal,65,50,29,logcosh,5.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
59,09/21/20-173252,09/21/20-173324,31.354360580444336,124,0.03623210639382402,0.9007999897003174,0.7147752046585083,0.054564880952239034,0.848800003528595,0.5524745583534241,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,50,0.0,124,uniform,47,45,23,logcosh,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
60,09/21/20-173324,09/21/20-173352,27.508517503738403,136,0.32371466620763145,0.8695999979972839,0.610872745513916,0.35830659002065657,0.8543999791145325,0.5743422508239746,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,55,0.16,136,uniform,20,50,23,binary_crossentropy,1.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
61,09/21/20-173352,09/21/20-173412,19.83764338493347,106,0.04390466408679883,0.8759999871253967,0.6336584687232971,0.050549799490720033,0.8479999899864197,0.5415253639221191,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,55,0.24,106,normal,92,35,23,logcosh,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
62,09/21/20-173412,09/21/20-173430,18.14309811592102,112,0.03032537600894769,0.9232000112533569,0.7719890475273132,0.05933476950228214,0.8367999792098999,0.5232337713241577,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,65,0.24,112,normal,47,25,26,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
63,09/21/20-173430,09/21/20-173525,54.2902147769928,148,0.04260648545374473,0.8794666528701782,0.5962457060813904,0.04982035543769598,0.8528000116348267,0.5451717972755432,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,35,0.16,148,normal,47,50,38,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
64,09/21/20-173525,09/21/20-173615,50.441216707229614,124,0.037864901984886574,0.8984000086784363,0.6879485845565796,0.05585729412734509,0.8464000225067139,0.5205084085464478,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,35,0.32,124,normal,20,50,26,logcosh,5.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
65,09/21/20-173616,09/21/20-173640,24.17491888999939,124,0.20208109311262767,0.9157333374023438,0.7626693248748779,0.6379371885061264,0.8367999792098999,0.5083176493644714,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,65,0.08,124,uniform,56,20,38,binary_crossentropy,5.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
66,09/21/20-173640,09/21/20-173719,38.56118679046631,100,0.2913107933998108,0.8808000087738037,0.6458098292350769,0.3830410766005516,0.853600025177002,0.5293847322463989,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,45,0.24,100,uniform,20,30,29,binary_crossentropy,5.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
67,09/21/20-173719,09/21/20-173749,29.529661178588867,106,0.23736380106210708,0.9111999869346619,0.7495554089546204,0.41881342244148256,0.843999981880188,0.5039665699005127,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,65,0.32,106,normal,83,25,23,binary_crossentropy,1.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
68,09/21/20-173749,09/21/20-173855,66.26121163368225,136,0.3074558570384979,0.874666690826416,0.5921425819396973,0.3583633598089218,0.848800003528595,0.5289273262023926,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,30,0.16,136,uniform,56,45,23,binary_crossentropy,1.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
69,09/21/20-173856,09/21/20-173926,30.543107271194458,100,0.04433550551533699,0.874666690826416,0.6215132474899292,0.04969308234751225,0.853600025177002,0.5610352158546448,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,50,0.32,100,normal,74,25,20,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
70,09/21/20-173926,09/21/20-174014,47.20296669006348,148,0.02241431935224682,0.9423999786376953,0.8441656827926636,0.06253106296062469,0.8407999873161316,0.5311329364776611,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,50,0.08,148,uniform,38,40,35,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
