round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
115,0.30057206185658775,0.87813336,0.6456028,0.37186091804504395,0.8456,0.5634821,relu,sigmoid,85,0.175,115,normal,80,18,29,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.30249280285835267,0.8725333,0.63107514,0.3792226758003235,0.8408,0.5421928,relu,sigmoid,70,0.175,100,normal,72,21,26,32,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2083079871137937,0.92373335,0.79754424,0.49052870470285415,0.8424,0.52340233,relu,sigmoid,65,0.175,100,normal,80,21,32,29,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.26630044261614483,0.8992,0.7000051,0.4069363635778427,0.8368,0.53596395,relu,sigmoid,50,0.175,115,normal,84,18,32,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.2899890913168589,0.88986665,0.6662557,0.38838474357128144,0.8464,0.5640108,relu,sigmoid,85,0.175,110,normal,52,15,32,26,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.35793833434581757,0.8504,0.5130796,0.3863135254383087,0.8536,0.5109758,relu,sigmoid,50,0.35,110,normal,44,24,23,32,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3196719658970833,0.8728,0.61785275,0.3730442100763321,0.8464,0.5618252,relu,sigmoid,45,0.0,110,normal,80,15,32,26,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.31627910939852394,0.8728,0.61387306,0.36842454624176024,0.8528,0.5504033,relu,sigmoid,80,0.35,100,normal,40,15,20,32,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.29817963083585103,0.87546664,0.6201349,0.3742313420772552,0.844,0.5322454,relu,sigmoid,50,0.0,105,normal,60,27,32,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.2775814116001129,0.8936,0.68362904,0.3983408099412918,0.844,0.50265765,relu,sigmoid,50,0.175,110,normal,56,24,20,20,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.2183295143445333,0.9202667,0.7742415,0.48414090991020203,0.832,0.5170339,relu,sigmoid,70,0.175,105,normal,76,24,32,32,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.2796485033035278,0.8850667,0.6740046,0.38509869623184206,0.8448,0.54100066,relu,sigmoid,70,0.0,105,normal,72,27,26,26,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
