round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
105,0.31539358240365983,0.872,0.60860485,0.3556370179057121,0.852,0.5376927,relu,sigmoid,45,0.0,105,normal,56,21,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.2969765758315722,0.8810667,0.66055846,0.361917701125145,0.8496,0.5457969,relu,sigmoid,55,0.175,115,normal,84,18,29,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.32844883426030475,0.8693333,0.61448276,0.3557396296262741,0.8536,0.536142,relu,sigmoid,65,0.35,105,normal,40,21,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.30398221254348756,0.8738667,0.6264101,0.3586706018447876,0.8536,0.5655956,relu,sigmoid,60,0.0,115,normal,52,15,23,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.327292295396328,0.86986667,0.6213638,0.36481940507888794,0.8472,0.53243303,relu,sigmoid,75,0.175,115,normal,56,21,23,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.32197519596417745,0.87306666,0.6341764,0.3572614743709564,0.8512,0.54726845,relu,sigmoid,70,0.35,100,normal,80,24,29,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.33306700269381206,0.8648,0.5860694,0.3801339519023895,0.8416,0.4886985,relu,sigmoid,50,0.0,105,normal,52,21,23,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.3333661166826884,0.8704,0.60331863,0.368200202703476,0.8488,0.5079086,relu,sigmoid,35,0.35,115,normal,84,21,23,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3421199477314949,0.86293334,0.5824164,0.37185482931137087,0.8448,0.49608237,relu,sigmoid,45,0.0,100,normal,60,24,32,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3137644045352936,0.87413335,0.6256945,0.3601810047626495,0.848,0.5457214,relu,sigmoid,60,0.35,100,normal,80,24,20,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3025480492512385,0.8765333,0.63747627,0.3481531755924225,0.8536,0.5619356,relu,sigmoid,70,0.0,110,normal,52,15,32,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3245605196158091,0.8714667,0.6211749,0.36542001414299013,0.8432,0.50982416,relu,sigmoid,80,0.0,100,normal,68,21,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.36054361108938854,0.8568,0.55238736,0.3801651918888092,0.8448,0.4833413,relu,sigmoid,55,0.35,100,normal,80,15,29,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.39116468369960783,0.84213334,0.46221724,0.40406843662261965,0.8376,0.43423864,relu,sigmoid,75,0.0,105,normal,48,24,26,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3422127338250478,0.8613333,0.57740617,0.3685060387849808,0.8472,0.5177053,relu,sigmoid,50,0.35,100,normal,40,21,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
