round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,losses,lr,optimizer,use_bias
100,0.391892121553421,0.8551999926567078,0.5299190282821655,0.25023764405647914,0.8944,0.69438255,relu,sigmoid,55,0.35,100,normal,70,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
125,0.5249787023067475,0.8223999738693237,0.4814557135105133,0.18507329785823823,0.92106664,0.7876545,relu,sigmoid,60,0.2375,125,normal,80,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.39574837958812714,0.843999981880188,0.4976537525653839,0.2516289952993393,0.8984,0.70685816,relu,sigmoid,45,0.2375,105,normal,75,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.37625327134132386,0.8432000279426575,0.5415326952934265,0.2638654971122742,0.8928,0.6941278,relu,sigmoid,60,0.3125,100,normal,65,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
120,0.46557342767715454,0.8407999873161316,0.5099696516990662,0.20011094227433204,0.9224,0.79247403,relu,sigmoid,50,0.275,120,normal,75,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
110,0.38656754475831984,0.8600000143051147,0.521393895149231,0.23776800099015236,0.9072,0.7365773,relu,sigmoid,45,0.2375,110,normal,75,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
115,0.39157050728797915,0.853600025177002,0.49018558859825134,0.2473487796386083,0.8914667,0.6697149,relu,sigmoid,50,0.3125,115,normal,80,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
115,0.44292446005344394,0.8416000008583069,0.5180231928825378,0.21229748129844667,0.91866666,0.7761437,relu,sigmoid,40,0.2,115,normal,60,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.4120673475265503,0.8416000008583069,0.5212481021881104,0.24746975407004357,0.90346664,0.7230073,relu,sigmoid,45,0.2,105,normal,60,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
110,0.42197745203971865,0.8352000117301941,0.5111395716667175,0.2234444069067637,0.91066664,0.75321364,relu,sigmoid,55,0.275,110,normal,65,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
