round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
118,0.2919799362719059,0.8997333,0.69270116,0.3963813086748123,0.84,0.5513032,relu,sigmoid,45,0.45,118,normal,63,33,20,15,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.29219241680701574,0.87866664,0.636242,0.37992746829986573,0.8504,0.5778698,relu,sigmoid,55,0.15,118,normal,71,27,23,27,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.24968501765529313,0.9072,0.7204238,0.4377209946513176,0.8272,0.51458,relu,sigmoid,35,0.3,130,normal,63,24,26,24,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.2835125390688578,0.88986665,0.66602856,0.38597112834453584,0.8488,0.55204976,relu,sigmoid,40,0.3,118,normal,71,30,23,24,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.2400347268283367,0.9168,0.7405493,0.44152971333265306,0.8272,0.5218177,relu,sigmoid,30,0.15,106,normal,71,33,26,18,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.28215449887514116,0.89813334,0.68509674,0.41112391972541806,0.8344,0.480753,relu,sigmoid,30,0.3,124,normal,63,30,32,15,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3023612871170044,0.87813336,0.62810284,0.37553313106298447,0.8472,0.5739097,relu,sigmoid,55,0.0,100,normal,55,30,23,18,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.2576226683855057,0.89813334,0.6814202,0.4134850600361824,0.84,0.53539366,relu,sigmoid,30,0.15,130,normal,63,21,29,27,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.26047762417793274,0.9058667,0.7075186,0.4289903275370598,0.8352,0.5686115,relu,sigmoid,45,0.3,130,normal,39,27,26,27,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.29398729566733045,0.8842667,0.64808106,0.3891748948097229,0.8392,0.581229,relu,sigmoid,70,0.45,112,normal,59,21,20,27,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.2584361019134521,0.90026665,0.70065,0.40030361849069596,0.8424,0.577143,relu,sigmoid,40,0.15,100,normal,59,30,20,15,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.30093454935153324,0.88986665,0.6571984,0.39631263104081155,0.8392,0.5671068,relu,sigmoid,65,0.45,118,normal,59,24,26,18,binary_crossentropy,0.325,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.27917344963550567,0.89706665,0.6862457,0.4041340065002441,0.8328,0.54208577,relu,sigmoid,60,0.3,130,normal,67,27,26,21,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.2855191133817037,0.88453335,0.6376258,0.38849787318706513,0.8472,0.58411306,relu,sigmoid,40,0.0,118,normal,59,24,20,24,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.3048997220595678,0.87626666,0.62128526,0.3806611415743828,0.8448,0.54848707,relu,sigmoid,55,0.0,118,normal,39,30,32,27,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.2676262590289116,0.904,0.70290536,0.4204950392246246,0.8416,0.5545647,relu,sigmoid,35,0.3,106,normal,39,24,29,24,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.301089282254378,0.88266665,0.62165153,0.3922683760225773,0.8472,0.5839496,relu,sigmoid,35,0.15,136,normal,39,15,32,27,binary_crossentropy,0.325,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3142203534046809,0.87733334,0.62465894,0.3784600296020508,0.8488,0.5918068,relu,sigmoid,70,0.3,100,normal,59,21,29,27,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.30117792159318924,0.88133335,0.6401732,0.3734020757675171,0.8472,0.5681281,relu,sigmoid,75,0.0,130,normal,59,24,23,24,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.26889578998088837,0.8984,0.68990594,0.39888026475906374,0.8472,0.57813156,relu,sigmoid,50,0.0,136,normal,55,21,32,18,binary_crossentropy,0.325,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.25823893924554187,0.90026665,0.6940287,0.3972598081827164,0.8416,0.5884135,relu,sigmoid,50,0.0,100,normal,67,27,20,24,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.2473643631339073,0.9048,0.70523673,0.4649333380460739,0.836,0.4957532,relu,sigmoid,30,0.0,106,normal,43,24,32,27,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.28137713381648066,0.8882667,0.66831714,0.39355081737041475,0.836,0.5037916,relu,sigmoid,45,0.15,130,normal,59,18,29,18,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.2779249328970909,0.89813334,0.67834705,0.39462613075971603,0.8416,0.5370148,relu,sigmoid,45,0.15,112,normal,67,30,29,15,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.31138455549875893,0.8832,0.63131046,0.38198343443870547,0.8448,0.5356497,relu,sigmoid,40,0.45,106,normal,39,15,26,27,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.3671118807792664,0.8552,0.5145986,0.421135151386261,0.8264,0.46687073,relu,sigmoid,60,0.15,124,normal,59,18,29,18,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.31544484782218934,0.8746667,0.61172587,0.3746183385848999,0.8432,0.5792066,relu,sigmoid,65,0.3,136,normal,35,21,32,18,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.25102976185083387,0.9130667,0.7438636,0.45411092430353167,0.8368,0.5698768,relu,sigmoid,45,0.3,136,normal,71,18,20,18,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.30406811594963074,0.8752,0.6177198,0.37634710609912875,0.8504,0.55470526,relu,sigmoid,75,0.0,118,normal,43,18,29,27,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.29507212559382123,0.88986665,0.648451,0.40040720188617707,0.84,0.5125983,relu,sigmoid,40,0.3,118,normal,47,30,29,21,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.36449021552006405,0.85573334,0.5051424,0.41642958307266237,0.8272,0.49484774,relu,sigmoid,55,0.15,100,normal,39,18,23,24,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.2760087053775787,0.8872,0.65421265,0.39399457263946536,0.8464,0.5536668,relu,sigmoid,30,0.0,124,normal,47,21,23,18,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.3775519159634908,0.8477333,0.48140693,0.4237571986913681,0.8208,0.45366368,relu,sigmoid,40,0.15,106,normal,35,33,29,21,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.261671247959137,0.90533334,0.69692487,0.4352483672499657,0.8392,0.534784,relu,sigmoid,30,0.3,112,normal,71,33,29,18,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.3156561407446861,0.88026667,0.62771857,0.37978913068771364,0.8432,0.55006933,relu,sigmoid,75,0.3,136,normal,47,24,20,24,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.2911457352638245,0.8888,0.6525013,0.39688778495788574,0.8408,0.55605936,relu,sigmoid,60,0.45,112,normal,71,27,20,15,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.3166531580686569,0.8757333,0.6137264,0.3862726444005966,0.8448,0.5571696,relu,sigmoid,75,0.0,130,normal,39,27,26,21,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.2551397054195404,0.90506667,0.719585,0.4162573320865631,0.8304,0.55396456,relu,sigmoid,60,0.15,118,normal,51,21,20,18,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.2924292426307996,0.8816,0.6365929,0.38832161903381346,0.8448,0.5770862,relu,sigmoid,50,0.0,136,normal,35,30,26,21,binary_crossentropy,0.325,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.30599999539057415,0.88346666,0.63947463,0.3797700257301331,0.844,0.56071377,relu,sigmoid,70,0.45,124,normal,59,27,29,18,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.3140637114445368,0.8746667,0.6124193,0.3772190619111061,0.8456,0.53191483,relu,sigmoid,65,0.0,112,normal,35,33,26,18,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.29927729872862496,0.8829333,0.6502625,0.37231483721733094,0.8464,0.58787555,relu,sigmoid,70,0.3,112,normal,63,33,32,24,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.285309117436409,0.8941333,0.68112963,0.3950325459241867,0.8392,0.5837476,relu,sigmoid,50,0.45,124,normal,67,33,26,27,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3072670022845268,0.8789333,0.6186112,0.38827649468183517,0.8424,0.53674346,relu,sigmoid,45,0.15,100,normal,35,30,32,15,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.2930620586077372,0.88346666,0.6471458,0.3827258573770523,0.8496,0.60455596,relu,sigmoid,65,0.0,112,normal,39,33,29,24,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.28450561237335203,0.8968,0.6748544,0.40369651281833646,0.8352,0.56861407,relu,sigmoid,55,0.3,124,normal,67,18,26,15,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
