round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
118,0.21993730822205543,0.91573334,0.73622715,0.45960000264644624,0.8288,0.5002566,relu,sigmoid,30,0.125,118,normal,74,15,35,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.12573496416211127,0.9501333,0.8629244,0.7353988867998124,0.8056,0.50574,relu,sigmoid,50,0.125,130,normal,66,30,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
148,0.22982086846232413,0.9224,0.7723393,0.46146729815006254,0.8136,0.492274,relu,sigmoid,65,0.375,148,normal,62,30,26,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.2316787950694561,0.9064,0.7275527,0.4780040774345398,0.82,0.5303797,relu,sigmoid,30,0.125,118,normal,58,18,35,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
106,0.29003690332174303,0.88986665,0.64976263,0.3996817879676819,0.8376,0.52829015,relu,sigmoid,65,0.5,106,normal,42,36,32,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.18342610283692679,0.9274667,0.7822941,0.542678635597229,0.8136,0.5139428,relu,sigmoid,40,0.125,124,normal,74,39,29,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
124,0.22135579446951548,0.91386664,0.7541393,0.47859533786773684,0.8216,0.51439196,relu,sigmoid,50,0.25,124,normal,58,36,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.2965704816579819,0.8861333,0.6307031,0.38362089812755584,0.832,0.5609621,relu,sigmoid,50,0.375,112,normal,50,15,26,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.1112342400054137,0.9552,0.87939185,0.9864683946371079,0.8008,0.511463,relu,sigmoid,65,0.125,136,normal,62,36,29,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.2792942730585734,0.8904,0.6710502,0.41937790882587433,0.8224,0.48309398,relu,sigmoid,65,0.125,100,normal,30,30,29,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
124,0.283918515086174,0.88346666,0.6443954,0.4065558154582977,0.8424,0.5350885,relu,sigmoid,55,0.25,124,normal,50,33,35,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
148,0.2844113659262657,0.8912,0.65884346,0.40140132522583005,0.8288,0.49507776,relu,sigmoid,65,0.25,148,normal,46,30,23,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.2747176686525345,0.89173335,0.6665947,0.42122515916824343,0.8248,0.46851972,relu,sigmoid,30,0.375,124,normal,42,30,32,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
