round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
116,0.40719707496960955,0.83786666,0.4479142,0.41556962418556215,0.828,0.3636269,relu,sigmoid,40,0.5,116,normal,44,20,20,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
108,0.3099794767101606,0.876,0.6152953,0.35796312367916105,0.8488,0.5475507,relu,sigmoid,35,0.375,108,normal,50,23,26,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
104,0.30681619441509245,0.88026667,0.6415403,0.36197714680433274,0.8512,0.55031735,relu,sigmoid,55,0.5,104,normal,56,26,26,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3105664211908976,0.87493336,0.62713814,0.3598599509596825,0.8568,0.56182677,relu,sigmoid,55,0.5,100,normal,62,29,26,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
108,0.3209280830621719,0.86986667,0.60767967,0.3612157726287842,0.8536,0.53317875,relu,sigmoid,50,0.25,108,normal,41,32,26,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
116,0.3276000382701556,0.8725333,0.6058007,0.35425576484203336,0.8592,0.55564237,relu,sigmoid,55,0.375,116,normal,50,20,23,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
128,0.29741533236702283,0.8776,0.6263668,0.36270887732505797,0.8464,0.54636925,relu,sigmoid,35,0.375,128,normal,56,32,23,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
128,0.3174374667704105,0.868,0.618843,0.35883454644680024,0.8584,0.54758996,relu,sigmoid,35,0.375,128,normal,44,26,20,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
128,0.34998361788193383,0.8592,0.57781583,0.37473139983415604,0.8472,0.48160088,relu,sigmoid,55,0.25,128,normal,44,20,29,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
108,0.34845054924488067,0.8642667,0.5759808,0.37598515129089355,0.8568,0.526113,relu,sigmoid,45,0.5,108,normal,59,29,20,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
