round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
100,0.3341489737033844,0.8704000115394592,0.5331361293792725,0.3284538527727127,0.85866666,0.5746464,elu,sigmoid,35,0.08,100,uniform,38,20,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.6812686085700989,0.823199987411499,0.5372439622879028,0.1704265225082636,0.9293333,0.81236523,relu,sigmoid,35,0.08,136,uniform,83,47,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
142,0.40302168536186217,0.8447999954223633,0.5776461958885193,0.2627799957593282,0.8861333,0.66903204,relu,sigmoid,40,0.0,142,uniform,56,38,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.38522482216358184,0.8528000116348267,0.556147038936615,0.25722036937872567,0.8904,0.68203163,relu,sigmoid,50,0.0,100,uniform,47,56,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.3356829286813736,0.871999979019165,0.5664803981781006,0.31956931376457215,0.8653333,0.5930592,elu,sigmoid,55,0.0,100,normal,65,47,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.5296479406356811,0.8399999737739563,0.5332947969436646,0.18357805526256563,0.9296,0.807865,relu,sigmoid,60,0.08,124,uniform,65,47,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
106,0.3301178218126297,0.8679999709129333,0.580725371837616,0.32360487228631973,0.8645333,0.5968598,elu,sigmoid,45,0.08,106,uniform,74,38,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
100,0.3967547581195831,0.8360000252723694,0.4639544188976288,0.3733121761480967,0.84746665,0.5076932,relu,sigmoid,55,0.0,100,uniform,38,20,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3770505377650261,0.8568000197410583,0.5360607504844666,0.2757796343564987,0.8904,0.68561226,elu,sigmoid,45,0.08,100,normal,83,38,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
112,0.39942260026931764,0.8575999736785889,0.5520528554916382,0.26573514729738235,0.884,0.6487771,relu,sigmoid,50,0.24,112,normal,38,29,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
